mean_fit_time,std_fit_time,mean_score_time,std_score_time,min_samples_leaf,max_leaf_nodes,max_bins,learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9979941844940186,0.3509909182358722,0.013668696085611979,0.000560526164085195,10,16,50,0.046415888336127774,"{'regressor__min_samples_leaf': 10, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 50, 'regressor__learning_rate': 0.046415888336127774}",0.8846419900067984,0.8867163863666945,0.9189946605182944,0.8967843456305958,0.015727880671438908,1
0.3095051447550456,0.05490652705075947,0.013147115707397461,0.0019633289526994045,20,16,50,0.1,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 50, 'regressor__learning_rate': 0.1}",0.8812754485351139,0.8934950004750978,0.9137011040846474,0.8961571843649531,0.0133708938058706,2
0.4726135730743408,0.17889032075568131,0.012416919072469076,0.0004629764000940648,10,8,50,0.1,"{'regressor__min_samples_leaf': 10, 'regressor__max_leaf_nodes': 8, 'regressor__max_bins': 50, 'regressor__learning_rate': 0.1}",0.8834393970372746,0.8853912720874577,0.9146799995225654,0.8945035562157658,0.014289135789992167,3
12.63529626528422,5.142611487355713,0.021943330764770508,0.0026709913494253248,2,8,50,0.01,"{'regressor__min_samples_leaf': 2, 'regressor__max_leaf_nodes': 8, 'regressor__max_bins': 50, 'regressor__learning_rate': 0.01}",0.874369856734405,0.8867899815474307,0.9178238951570188,0.8929945778129514,0.018274501815773874,4
1.3344566822052002,0.35682527322814706,0.013864278793334961,0.0005394906541304239,20,6,100,0.046415888336127774,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 6, 'regressor__max_bins': 100, 'regressor__learning_rate': 0.046415888336127774}",0.8828912359907678,0.8803121028890531,0.9156533774856247,0.892952238788482,0.016086624993023994,5
0.6574282646179199,0.27468611640459284,0.012696981430053711,0.0006319224358158924,5,16,10,0.046415888336127774,"{'regressor__min_samples_leaf': 5, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 10, 'regressor__learning_rate': 0.046415888336127774}",0.873031068332573,0.8967729272793922,0.9089029867542023,0.8929023274553892,0.01489820548612451,6
14.648257573445639,0.827315502044668,0.023275375366210938,0.0006064922538281812,2,8,30,0.01,"{'regressor__min_samples_leaf': 2, 'regressor__max_leaf_nodes': 8, 'regressor__max_bins': 30, 'regressor__learning_rate': 0.01}",0.870450436597357,0.8872956563644216,0.9159320785877161,0.8912260571831649,0.01877464562438365,7
0.16603549321492514,0.0601028674758554,0.011304140090942383,0.0003181927961219867,20,16,30,0.21544346900318823,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 30, 'regressor__learning_rate': 0.21544346900318823}",0.875510746182725,0.8881698589991728,0.9097544641076383,0.8911450230965121,0.014137344290562015,8
0.20650434494018555,0.02049429837439362,0.011277039845784506,2.2110315105710432e-05,5,32,50,0.21544346900318823,"{'regressor__min_samples_leaf': 5, 'regressor__max_leaf_nodes': 32, 'regressor__max_bins': 50, 'regressor__learning_rate': 0.21544346900318823}",0.8794430977381978,0.8878204132970502,0.9027627371137305,0.8900087493829929,0.009645137160593821,9
0.5574912230173746,0.2296548170178444,0.01259907086690267,0.0005530797634926048,20,32,5,0.1,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 32, 'regressor__max_bins': 5, 'regressor__learning_rate': 0.1}",0.8762506200786897,0.8874958397526821,0.9059838768418967,0.889910112224423,0.01225800889520951,10
0.4328736464182536,0.08633307612783868,0.012172063191731771,0.00017514516518989017,10,32,5,0.1,"{'regressor__min_samples_leaf': 10, 'regressor__max_leaf_nodes': 32, 'regressor__max_bins': 5, 'regressor__learning_rate': 0.1}",0.8660094797268735,0.890385369958637,0.9076253103734028,0.8880067200196379,0.017072645210967897,11
2.4556051890055337,1.6390545310979292,0.015340805053710938,0.0018102884332899462,2,16,10,0.021544346900318832,"{'regressor__min_samples_leaf': 2, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 10, 'regressor__learning_rate': 0.021544346900318832}",0.8697203283476023,0.8946738710753118,0.898590428693325,0.887661542705413,0.012786717988300464,12
14.348642349243164,1.4417189880389918,0.022613128026326496,0.0008032497394213253,20,5,100,0.01,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 5, 'regressor__max_bins': 100, 'regressor__learning_rate': 0.01}",0.8728458130183993,0.8793412068653023,0.9104680898535548,0.887551703245752,0.016419868385085683,13
0.5839246908823649,0.27085871235742054,0.012590408325195312,0.0006772713566720505,2,6,100,0.1,"{'regressor__min_samples_leaf': 2, 'regressor__max_leaf_nodes': 6, 'regressor__max_bins': 100, 'regressor__learning_rate': 0.1}",0.8658030770220347,0.8859187064780828,0.9109283975071641,0.8875500603357606,0.01845841495141859,14
1.2334272066752117,0.04555573284034217,0.013468583424886068,6.033649434125624e-05,20,3,30,0.1,"{'regressor__min_samples_leaf': 20, 'regressor__max_leaf_nodes': 3, 'regressor__max_bins': 30, 'regressor__learning_rate': 0.1}",0.8701362813465549,0.8753796368683731,0.9163890931630692,0.8873016704593324,0.020679004069207373,15
17.745342016220093,0.07004181092630138,0.025839567184448242,5.816338392908487e-05,10,16,30,0.004641588833612777,"{'regressor__min_samples_leaf': 10, 'regressor__max_leaf_nodes': 16, 'regressor__max_bins': 30, 'regressor__learning_rate': 0.004641588833612777}",0.8692547074029372,0.883284269494478,0.9092455608944058,0.8872615125972737,0.016566652000692593,16
